semester,gender,collegeYear,height,weight,pulse,hsGPA,collegeGPA,SATM,SATV,shoeSize,fincialAid,tvHours,states,siblings,motherAge,fatherAge,salary
2,F,4,67.5,145,80,3.66,3.11,600,670,10.5,Y,7,21,5,49,49,35000
2,F,1,68,150,60,3.86,3,630,640,10.5,Y,1,4,2,52,51,40000
2,M,3,73,178,50,2.8,2.9,650,600,11.5,Y,2,40,0,57,62,27000
2,M,2,75,185,98,3.5,3.67,,,13,Y,3,12,0,56,,60000
2,M,2,71,140,70,3.5,3,,,10,N,4,40,1,50,49,40000
2,F,1,66,140,80,3.58,3.59,560,620,8.5,N,0,7,1,47,46,50000
2,F,1,65,123,,3.78,3.59,520,520,8.5,Y,6,10,4,50,56,1.00E+05
2,F,1,69,210,80,3.85,2.5,640,680,11,Y,0,8,1,52,59,
2,F,1,66,105,60,3.9,3.6,640,560,8,Y,1,10,0,43,49,40000
2,F,1,66,135,80,3.82,3.5,670,640,7,Y,2,18,1,42,42,35000
2,M,1,72,215,90,,2.78,,,11,Y,1,10,1,53,52,30000
2,F,1,62,130,60,3.99,3.78,,,7,Y,1,19,4,51,50,
2,F,2,61,128,104,3.985,3.86,740,650,8,Y,7,9,1,42,47,35000
2,F,2,64,134,82,3.76,,,,7.5,N,7,35,6,46,47,30000
2,F,2,68,128,160,3.8,2.8,720,620,10,Y,3,38,1,55,52,
2,M,1,74,185,,3.7,3,660,540,13,Y,1,30,1,50,53,
2,M,1,72,145,,3.3,3.3,670,620,11.5,N,6,25,4,47,54,45000
2,F,1,69,,,3.989,3.42,,,10,Y,2,20,0,50,57,45000
2,F,1,68,125,54,3.8,3.44,570,680,9,Y,0,7,2,45,45,35000
2,M,2,68,130,70,3,3,660,550,8,Y,4,13,1,46,49,30000
2,M,1,66,130,60,3.56,3,650,640,9,Y,1,,1,,,
2,F,1,66,130,,3.92,3.33,650,640,7.5,Y,0.5,11,2,51,51,
2,F,1,67,135,,3.71,,,,8,Y,2,12,3,53,62,30000
2,F,1,66,135,,3.89,3.25,600,630,8.5,Y,4,3,1,46,45,60000
2,F,1,70,155,,4,3.84,660,700,9.5,Y,2,10,1,42,44,30000
2,M,2,68,130,,3.3,2.7,620,620,10.5,Y,14,11,0,45,53,30000
2,M,4,74,175,,,,,,10,Y,10,48,1,58,59,40000
2,F,1,65,150,,3.7,,660,680,8.5,Y,0,40,4,57,65,25000
2,M,2,70,147,78,3.75,3.06,650,570,10,Y,14,18,2,49,51,40000
2,F,1,65,127,,3.9,4,550,740,7,Y,2,20,1,47,48,60000
2,F,1,64,130,,3.6,,,,8.5,Y,5,37,4,50,49,25000
2,F,4,68,165,,3.5,3.47,650,700,10,Y,3,6,1,53,51,10000
2,F,1,69,140,,4,3.33,520,610,9,Y,1,,5,43,45,
2,F,3,65,130,65,3.92,3.46,590,690,7.5,Y,5,10,1,53,50,50000
2,M,1,72,165,72,3.69,3.09,540,650,11.5,Y,3,4,2,47,47,45000
2,F,4,65,130,70,3,2.93,670,620,7.5,Y,1,20,4,50,67,30000
2,M,1,70,158,70,3.98,3.2,510,630,10,Y,2,10,1,52,55,20000
2,M,1,71,164,70,3.94,3.22,,680,12.5,Y,3,20,2,54,,25000
2,M,2,72,170,61,3.8,3.6,700,650,12,N,10,35,0,57,60,50000
2,M,1,71,125,90,3.9,3.3,,,10,N,1,20,1,50,48,20000
2,M,1,75.5,194,64,3.94,2.67,760,690,13.5,Y,0,40,0,57,57,70000
2,F,1,64,130,80,3.84,4,650,600,8.5,Y,3,30,2,53,53,35000
2,M,1,73,230,75,3.8,3.3,690,690,12,Y,3,30,1,53,51,60000
2,F,1,64,125,,3.98,3.85,680,590,7,Y,1,25,0,47,46,
2,M,1,78,210,60,3.5,,510,510,15,Y,14,16,2,46,47,40000
2,F,1,68,145,,3.99,3.106,650,690,9.5,Y,0.5,12,1,43,43,
2,F,1,65,115,,3.5,2.6,,,7,Y,0,10,7,38,41,30000
2,M,1,75,160,,3.8,3.7,710,690,12,Y,10,15,5,46,48,35000
2,F,1,64,140,,3.43,2.93,500,590,8,Y,0,8,3,40,41,24000
2,F,4,69,130,,3.9,3.6,,,9,Y,4,12,5,52,52,30000
2,M,1,68,172,,3.12,2.67,670,650,9,Y,6,6,1,47,47,40000
2,F,1,67,165,78,3.8,2.75,,,9.5,Y,4,8,2,47,45,20000
2,F,2,69,153,,3.7,3.22,,,8.5,Y,10,8,1,55,,35000
2,F,1,66,115,72,3.6,3.33,700,640,7,N,1,45,4,53,55,40000
2,F,1,66,130,,3.67,2.92,550,570,8,Y,0,10,1,47,52,50000
2,F,1,63,135,,3.75,3.25,580,620,8.5,Y,1,15,2,50,,
2,F,1,70,145,,3.72,2.56,520,520,9.5,Y,0,15,1,53,53,
2,F,1,65,130,,3.98,3.25,620,580,7.5,Y,1,30,2,48,49,
2,F,1,66,140,,4,3.8,,,8.5,Y,0,20,1,42,42,35000
2,M,1,,140,,3.3,2.7,,,10,N,0,8,1,52,56,
2,F,1,60,110,,3.98,3.57,580,420,6,Y,1,3,2,51,60,40000
